Order_ID,Workshop_ID,Product_Category,Revision_Index,Prototype_Flag,Test_Required,Expected_Steps,Material_Criticality,Material_Criticality_Num,Workshop_Skill,Workshop_OTD_Rate,Workshop_Avg_Delay,Workshop_Delay_Var,Workload_Level,Downtime_Risk,Quantity,Urgency_Level,Promised_LT,Actual_LT,LateFlag,Difficulty_Score,Shock_Flag,Delay_Days_Raw,Delay_Days_Positive
O00001,W01,Control Module,2,1,0,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5900419753058631,0.12992150533547164,4,0,19,25,1,0.4065146913570521,0,6,6
O00002,W01,LRU,3,0,0,9,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.49950430091124215,0.19990820247510832,9,1,10,16,1,0.32482650531893476,0,6,6
O00003,W01,Communication Module,2,0,0,9,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.30885776887219346,0.7649988574160256,7,1,12,18,1,0.10810021910526771,0,6,6
O00004,W01,Communication Module,1,0,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3851995174336128,0.28138389202199654,10,1,10,14,1,0.28481983110176445,0,4,4
O00005,W01,Communication Module,3,0,0,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5258419941123321,0.1612717790336018,1,0,15,20,1,0.33404469793931624,0,5,5
O00006,W01,Power Distribution Module,2,0,0,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.37742006327362576,0.908580690707607,5,0,14,19,1,0.13209702214576902,0,5,5
O00007,W01,Communication Module,1,0,1,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5205871103883597,0.579219568941896,5,0,12,16,1,0.3322054886359259,0,4,4
O00008,W01,Control Module,2,0,0,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4991444144309505,0.49399081924451893,2,0,12,17,1,0.17470054505083266,0,5,5
O00009,W01,Harness,2,0,1,4,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3755868379130198,0.7827352272502862,1,0,7,20,1,0.43145539326955695,1,13,13
O00010,W01,Power Distribution Module,1,0,1,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5837427691125383,0.8961607718397667,6,0,10,14,1,0.3543099691893884,0,4,4
O00011,W01,Control Module,3,0,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4046221395801986,0.37092228386243875,3,1,12,20,1,0.4416177488530695,1,8,8
O00012,W01,Power Distribution Module,4,0,0,11,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.349350988601812,0.891677266254914,1,1,14,21,1,0.2722728460106342,0,7,7
O00013,W01,Control Module,2,0,0,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3546978428617239,0.24097057500568475,8,0,11,14,1,0.12414424500160336,0,3,3
O00014,W01,LRU,1,0,1,13,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4766325593617668,0.14389750255125078,10,0,10,18,1,0.4668213957766184,0,8,8
O00015,W01,RF Module,2,0,0,12,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.34450547425981753,0.13105775155731325,9,0,13,18,1,0.12057691599093613,0,5,5
O00016,W01,Control Module,4,0,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.501394425160896,0.6339751116810851,9,0,12,22,1,0.47548804880631357,1,10,10
O00017,W01,LRU,1,1,0,12,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4117301020269943,0.2326407419664337,2,0,20,27,1,0.49410553570944804,0,7,7
O00018,W01,Control Module,3,0,0,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.36746618818830995,0.8165687634239104,10,0,11,16,1,0.27861316586590845,0,5,5
O00019,W01,Power Distribution Module,1,1,0,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.33965516519677574,0.021148016336440034,3,0,17,21,1,0.3188793078188715,0,4,4
O00020,W01,Communication Module,1,0,1,8,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5087941722011048,0.18149840959652408,9,0,11,20,1,0.4780779602703866,0,9,9
O00021,W01,Communication Module,2,0,1,7,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3026861473363547,0.8435749515977528,1,2,10,21,1,0.4059401515677241,0,11,11
O00022,W01,Control Module,1,0,1,10,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.22047890194064418,0.3850894961003535,7,0,13,21,1,0.3771676156792254,0,8,8
O00023,W01,Electronic Board,1,0,0,8,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4436991287981863,0.9488579267153404,4,2,7,15,1,0.1552946950793652,0,8,8
O00024,W01,Control Module,3,0,1,8,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5761031394932592,0.20240459312571835,6,1,13,18,1,0.5016360988226407,0,5,5
O00025,W01,Control Module,1,1,0,10,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6282675893614461,0.7826241046295469,10,1,20,28,1,0.5698936562765061,0,8,8
O00026,W01,Control Module,1,0,1,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5075814189367999,0.7639233900065879,10,0,13,21,1,0.3276534966278799,1,8,8
O00027,W01,Electronic Board,2,0,1,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5004325480474908,0.7625321470706523,7,0,9,14,1,0.3251513918166218,0,5,5
O00028,W01,Harness,1,0,1,4,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3949197443047419,0.7803014939093922,7,0,7,14,1,0.2882219105066597,0,7,7
O00029,W01,Electronic Board,3,0,0,8,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.48793279046807725,0.45431796184174655,6,1,7,12,1,0.320776476663827,0,5,5
O00030,W01,Harness,3,0,1,4,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.42996714266994035,0.8368965796609382,1,2,4,16,1,0.6004884999344792,0,12,12
O00031,W01,LRU,1,0,0,13,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.43777062881131673,0.6562690393274901,8,0,10,13,1,0.15321972008396084,0,3,3
O00032,W01,Electronic Board,3,0,1,6,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.49692375422795915,0.6981207839786372,9,0,10,19,1,0.6239233139797857,0,9,9
O00033,W01,Control Module,2,1,0,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.44134307722633104,0.7099046972813039,8,2,19,27,1,0.35447007702921585,0,8,8
O00034,W01,LRU,2,0,0,12,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.37016950490480494,0.4585606424584898,6,1,13,17,1,0.12955932671668172,0,4,4
O00035,W01,Power Distribution Module,2,0,1,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4640309930134394,0.40403439074076597,10,0,11,15,1,0.3124108475547038,0,4,4
O00036,W01,Communication Module,2,0,1,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.318187996702877,0.5883062484090082,7,0,12,18,1,0.26136579884600697,0,6,6
O00037,W01,RF Module,2,1,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4432188976453724,0.5491443835996794,7,0,20,27,1,0.5051266141758803,0,7,7
O00038,W01,LRU,4,0,1,12,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5201748819295293,0.8373823623450686,4,0,14,22,1,0.4820612086753353,0,8,8
O00039,W01,Power Distribution Module,1,0,0,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.27806354652137416,0.8565480235745582,8,0,13,16,1,0.09732224128248095,0,3,3
O00040,W01,Harness,4,1,0,3,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3210489107343296,0.38784169516364975,10,0,17,25,1,0.4623671187570154,0,8,8
O00041,W01,Electronic Board,3,1,1,7,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.45801034736426793,0.4482456132543511,9,0,14,25,1,0.8103036215774938,0,11,11
O00042,W01,Electronic Board,1,1,0,6,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.540891836298886,0.4901975424015864,10,0,14,17,1,0.3893121427046101,0,3,3
O00043,W01,Control Module,2,0,1,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.547829710123679,0.338456483297326,1,1,11,16,1,0.34174039854328764,0,5,5
O00044,W01,Harness,2,1,0,5,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4257676420567549,0.10497971589607058,1,2,12,20,1,0.3490186747198642,0,8,8
O00045,W01,Electronic Board,1,1,1,8,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.47034672043533343,0.27802210660081383,4,1,13,19,1,0.5146213521523667,0,6,6
O00046,W01,Control Module,4,1,1,9,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.369931443891088,0.11410407118363719,6,0,22,30,1,0.6294760053618809,0,8,8
O00047,W01,Harness,1,1,1,6,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3490378253491907,0.7773431275291786,4,0,16,25,1,0.4721632388722168,1,9,9
O00048,W01,Electronic Board,2,1,1,10,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5219546824273943,0.3727023413067342,10,0,13,23,1,0.682684138849588,0,10,10
O00049,W01,LRU,2,1,0,14,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4330795038767997,0.0045001249396591225,3,0,19,25,1,0.3515778263568799,0,6,6
O00050,W01,Control Module,1,1,0,9,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.43661781948884076,0.590320250883149,5,0,18,25,1,0.5028162368210943,0,7,7
O00051,W01,Power Distribution Module,2,1,1,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4629444245930218,0.5748719296230336,3,2,20,28,1,0.5120305486075577,0,8,8
O00052,W01,Communication Module,1,0,0,11,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5090847724128968,0.4532799165001634,10,0,13,18,1,0.17817967034451387,1,5,5
O00053,W01,Power Distribution Module,3,0,0,12,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.2206703118517172,0.5907447941637661,10,1,10,15,1,0.227234609148101,0,5,5
O00054,W01,LRU,1,0,1,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5588223327538531,0.47625730858672566,10,1,13,18,1,0.34558781646384856,0,5,5
O00055,W01,Electronic Board,2,1,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.25196701697186924,0.10300268413015878,5,0,13,18,1,0.4381884559401542,0,5,5
O00056,W01,Power Distribution Module,1,0,0,8,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3795488644222834,0.20702054152481197,10,0,11,14,1,0.13284210254779918,0,3,3
O00057,W01,LRU,1,0,1,8,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4420495078119761,0.8412037062149564,4,0,11,16,1,0.30471732773419163,0,5,5
O00058,W01,Electronic Board,1,1,0,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.521926117706045,0.15045401155747407,7,0,12,18,1,0.38267414119711574,0,6,6
O00059,W01,Electronic Board,1,0,0,6,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.2911612053792111,0.004741392911873921,6,1,6,11,1,0.10190642188272388,0,5,5
O00060,W01,Power Distribution Module,4,0,1,10,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5907496143893167,0.8131593458201128,2,1,12,24,1,0.6567623650362608,0,12,12
O00061,W01,Power Distribution Module,1,0,0,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3491606502697719,0.7080912356835879,1,1,13,17,1,0.12220622759442015,0,4,4
O00062,W01,Electronic Board,2,0,1,7,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4720250348521142,0.016579801897556923,6,0,10,19,1,0.4652087621982399,0,9,9
O00063,W01,RF Module,2,0,0,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5162712120270975,0.8362451768426012,6,0,11,16,1,0.1806949242094841,0,5,5
O00064,W01,Control Module,2,0,1,8,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5871427110679823,0.7584222371847541,8,0,15,22,1,0.35549994887379377,0,7,7
O00065,W01,RF Module,1,0,1,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5044651483189863,0.9615496295410325,4,0,13,18,1,0.32656280191164516,0,5,5
O00066,W01,LRU,1,0,1,9,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5167381334768563,0.5699338186415264,5,2,8,15,1,0.3308583467168997,0,7,7
O00067,W01,Electronic Board,2,0,1,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4678148810684248,0.39462988815008226,4,0,7,13,1,0.31373520837394864,0,6,6
O00068,W01,Harness,1,0,0,6,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4785432682203032,0.1628715005545549,4,0,8,11,1,0.16749014387710612,0,3,3
O00069,W01,Control Module,3,0,0,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4186573325404739,0.2594398398545342,2,0,11,16,1,0.29653006638916585,0,5,5
O00070,W01,Electronic Board,1,0,1,8,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.499700729984792,0.9845686082507541,7,2,7,17,1,0.47489525549467715,0,10,10
O00071,W01,RF Module,1,1,1,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4810028583318656,0.16031202498225805,6,1,17,22,1,0.518351000416153,0,5,5
O00072,W01,Communication Module,3,1,0,10,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6831745630861819,0.8961220824236303,8,0,18,26,1,0.7391110970801636,0,8,8
O00073,W01,Communication Module,1,1,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5300860867463462,0.2484064038656515,9,0,18,22,1,0.5355301303612212,0,4,4
O00074,W01,RF Module,1,0,1,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4847160748294573,0.12566385286853599,2,0,14,20,1,0.31965062619031004,0,6,6
O00075,W01,Electronic Board,1,0,0,6,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5262214169331558,0.465014131989273,10,0,7,12,1,0.18417749592660454,1,5,5
O00076,W01,Communication Module,1,1,0,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6141988448951872,0.7944570304958843,7,1,19,25,1,0.4149695957133155,0,6,6
O00077,W01,Communication Module,2,0,1,8,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5695805217525174,0.12903005718204175,3,0,14,20,1,0.3493531826133811,1,6,6
O00078,W01,Communication Module,2,0,1,10,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.32407322030810326,0.17723550124927256,1,1,13,22,1,0.41342562710783615,0,9,9
O00079,W01,Control Module,4,0,1,6,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6565817514938098,0.7385107126866286,4,0,16,27,1,0.6798036130228334,0,11,11
O00080,W01,Communication Module,2,0,1,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4774440751537695,0.09172367905900669,4,1,13,19,1,0.3171054263038193,0,6,6
O00081,W01,Electronic Board,3,1,0,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.44975969547915023,0.13865449623341952,7,0,14,19,1,0.5074158934177025,0,5,5
O00082,W01,Control Module,4,0,0,9,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.581697973512742,0.9761283906917078,6,1,12,20,1,0.3535942907294597,0,8,8
O00083,W01,Control Module,1,1,1,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5470013805709244,0.6322025001148623,4,0,21,29,1,0.5414504831998236,1,8,8
O00084,W01,Control Module,3,1,1,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6243462026827873,0.6448191943592905,7,0,19,27,1,0.7185211709389756,0,8,8
O00085,W01,LRU,3,0,0,8,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6216573417264273,0.13832907011604922,4,1,13,20,1,0.3675800696042495,1,7,7
O00086,W01,Communication Module,2,1,1,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.46201998135913636,0.7907379738959939,3,1,18,24,1,0.5117069934756977,0,6,6
O00087,W01,Electronic Board,1,0,1,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4115392523696772,0.9994219092241878,7,0,5,15,1,0.294038738329387,1,10,10
O00088,W01,Communication Module,1,0,0,7,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3415633489211185,0.8212307865978454,10,0,12,17,1,0.11954717212239147,0,5,5
O00089,W01,LRU,1,1,0,10,Medium,1,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.37828203109031333,0.05280710140011036,2,0,17,22,1,0.33239871088160966,0,5,5
O00090,W01,LRU,1,0,1,11,High,2,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4508374035881387,0.8191998792939803,1,0,10,20,1,0.45779309125584855,0,10,10
O00091,W01,RF Module,3,0,0,9,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4785975342275308,0.1189103480339605,3,0,12,16,1,0.3175091369796358,0,4,4
O00092,W01,Harness,1,0,1,3,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4772787307092226,0.9755956458283996,10,0,9,13,1,0.3170475557482279,0,4,4
O00093,W01,Control Module,2,0,1,7,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.44078641700309407,0.6015584524560157,8,0,14,18,1,0.3042752459510829,0,4,4
O00094,W01,RF Module,1,0,1,8,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.5626133190473301,0.6766523825096377,9,0,10,13,1,0.34691466166656554,0,3,3
O00095,W01,Electronic Board,3,0,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6705240945525927,0.5857713251547224,10,0,7,13,1,0.5346834330934074,0,6,6
O00096,W01,Communication Module,1,0,1,11,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.4059110395925031,0.055270409501227635,6,0,11,15,1,0.29206886385737607,0,4,4
O00097,W01,Harness,1,0,0,5,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.6096403139719371,0.7542715149378925,7,1,7,11,1,0.21337410989017797,0,4,4
O00098,W01,Power Distribution Module,4,0,1,10,Low,0,2,0.7667738071057799,6.010185439379677,2.2434200726484095,0.3648679028066744,0.4986395468763152,6,2,12,19,1,0.42770376598233606,0,7,7
